"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,82736004.321087,64060275.1265965,106856337.995604,18.2311654258455,0.130528127506819,"index","Coastwide",21,"Pacific sanddab",10
2004,69855436.667592,56162852.9307427,86886291.8704909,18.0619384741043,0.111314472809087,"index","Coastwide",21,"Pacific sanddab",10
2005,62850201.3346203,50747170.0978223,77839765.2556358,17.9562646964102,0.109133782755824,"index","Coastwide",21,"Pacific sanddab",10
2006,46214287.399352,36741553.7303989,58129288.039957,17.6487995593119,0.117033085494708,"index","Coastwide",21,"Pacific sanddab",10
2007,32316723.9053858,26202859.6964486,39857124.6068415,17.2910954221659,0.107000083841167,"index","Coastwide",21,"Pacific sanddab",10
2008,51362190.4228492,42211145.2985281,62497110.3336779,17.7544128648565,0.100113071295106,"index","Coastwide",21,"Pacific sanddab",10
2009,59597549.4090408,49418629.8834776,71873054.836564,17.9031250138923,0.0955563373394355,"index","Coastwide",21,"Pacific sanddab",10
2010,72231356.7263603,59823926.0456955,87212077.8322956,18.0953848132697,0.0961592022894162,"index","Coastwide",21,"Pacific sanddab",10
2011,63514127.6800896,52721619.3666611,76515942.8603149,17.9667729222682,0.0950205002170351,"index","Coastwide",21,"Pacific sanddab",10
2012,74785920.0694243,61889947.2067417,90369019.4135613,18.1301401908604,0.0965690551743632,"index","Coastwide",21,"Pacific sanddab",10
2013,120186050.615966,94541295.3749151,152787062.049249,18.604551521883,0.122453391322148,"index","Coastwide",21,"Pacific sanddab",10
2014,108837802.229484,88140445.5281602,134395363.254202,18.5053692790026,0.107617899370951,"index","Coastwide",21,"Pacific sanddab",10
2015,90683156.1703427,74169617.8235032,110873361.011291,18.3228821885817,0.102561592548547,"index","Coastwide",21,"Pacific sanddab",10
2016,68261343.6420279,55729475.3495834,83611248.9232301,18.0388541854277,0.103488860853189,"index","Coastwide",21,"Pacific sanddab",10
2017,68286756.8118602,56916043.9913573,81929115.744415,18.0392264084032,0.0929295549689683,"index","Coastwide",21,"Pacific sanddab",10
2018,80476750.112063,66472163.9310617,97431871.1109842,18.203478882189,0.0975451861391376,"index","Coastwide",21,"Pacific sanddab",10
2019,55399090.9740835,42980135.3791676,71406459.1393153,17.8300737431728,0.129505004267192,"index","Coastwide",21,"Pacific sanddab",10
2021,60118346.3538095,49053239.4745954,73679447.2093613,17.9118256167124,0.103781922620937,"index","Coastwide",21,"Pacific sanddab",10
2022,76346496.5834931,62477393.0362187,93294346.2796905,18.1507927023088,0.102286249154266,"index","Coastwide",21,"Pacific sanddab",10
2023,72869841.9009656,59118158.485379,89820352.9121254,18.1041854200402,0.106704376370995,"index","Coastwide",21,"Pacific sanddab",10
2024,67832447.5814841,56286299.6461327,81747085.415499,18.0325512163267,0.0952004729889574,"index","Coastwide",21,"Pacific sanddab",10
